action_type	serialized_occurrences	source_candidates	resolution
HutongGames.PlayMaker.Actions.ListenForDreamNail	126	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForDreamNail.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForInventory	8	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForInventory.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForInventoryShortcut	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ListenForInventoryShortcut.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForJump	212	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForJump.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForJumpV2	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ListenForJumpV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForLeft	206	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForLeft.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForMenuActions	6	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForMenuActions.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForMenuActionsContinuous	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ListenForMenuActionsContinuous.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForMenuActionsV2	5	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ListenForMenuActionsV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForMenuCancel	3	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForMenuCancel.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForMenuSubmit	5	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForMenuSubmit.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForPaneLeft	6	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForPaneLeft.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForPaneRight	6	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForPaneRight.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForPromptContinue	13	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ListenForPromptContinue.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForQuickCast	3	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForQuickCast.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForQuickCastV2	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ListenForQuickCastV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForQuickMap	406	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForQuickMap.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForQuickMapV2	107	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ListenForQuickMapV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForRight	206	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForRight.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForRsDown	10	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForRsDown.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForRsUp	10	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForRsUp.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForSilkSpecial	8	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ListenForSilkSpecial.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForSilkSpecialV2	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ListenForSilkSpecialV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForSuperdash	4	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForSuperdash.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForSuperdashV2	9	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ListenForSuperdashV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForSuperdashV3	31	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ListenForSuperdashV3.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForTauntV2	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ListenForTauntV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForToolThrow	22	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ListenForToolThrow.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ListenForUp	180	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ListenForUp.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.LoadSceneSingleCustom	13	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/LoadSceneSingleCustom.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.LookAnimNPCFaceTargetInstant	12	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/LookAnimNPCFaceTargetInstant.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.LookAnimNpcForceFacing	6	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/LookAnimNpcForceFacing.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.LookAnimNpcGetFacingLeft	8	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/LookAnimNpcGetFacingLeft.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.LookAnimNpcOverrideTarget	10	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/LookAnimNpcOverrideTarget.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.LookAnimNpcSetTargetEntered	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/LookAnimNpcSetTargetEntered.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.MapStartPan	2	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Inventory/MapStartPan.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.MapStopPan	6	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Inventory/MapStopPan.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.MatchAudioSourceTime	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/MatchAudioSourceTime.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.MatchScaleSign	342	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/MatchScaleSign.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.MatchScaleSignV2	49	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/MatchScaleSignV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.MenuStyleUnlockAction	5	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/MenuStyleUnlockAction.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.MenuStyleUnlockActionV2	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/MenuStyleUnlockActionV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.MissingAction	7	[]	no_loose_source_match
HutongGames.PlayMaker.Actions.MoveGameObjectToScene	3	"[""Assets/PlayMaker/Actions/SceneManager/MoveGameObjectToScene.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.MoveHeroToPosX	25	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/MoveHeroToPosX.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.MovePosition2dV2	7	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/MovePosition2dV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.MovedPastTargetEvent	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/MovedPastTargetEvent.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.MultiplyGravity	338	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/MultiplyGravity.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.MultiplyIntByFloat	140	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/MultiplyIntByFloat.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.NPCFlyToPoint	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/NPCFlyToPoint.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.NextFixedFrameEvent	76	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/NextFixedFrameEvent.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.NextFrameEvent	10316	"[""Assets/PlayMaker/Actions/StateMachine/NextFrameEvent.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.NpcDialogueTitleSkipNextHide	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/NpcDialogueTitleSkipNextHide.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ObjectCompare	17	"[""Assets/PlayMaker/Actions/Logic/ObjectCompare.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ObjectIsNull	71	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ObjectIsNull.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ObjectJitter	3982	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/ObjectJitter.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ObjectJitterLocal	716	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/ObjectJitterLocal.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ObjectJitterOnRender	146	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ObjectJitterOnRender.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.OnDamagedHeroEvent	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/OnDamagedHeroEvent.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.OpenFastTravelUI	12	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/OpenFastTravelUI.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.OpenMarkerMenu	2	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Inventory/OpenMarkerMenu.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.OpenSimpleShopMenu	5	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/OpenSimpleShopMenu.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.OpenTubeTravelMap	7	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/OpenTubeTravelMap.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PanAudio	50	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PanAudio.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ParticleSystemPlay	13	"[""Assets/PlayMaker/Actions/Effects/ParticleSystemPlay.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PauseTimeline	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PauseTimeline.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PerSecond	1	"[""Assets/PlayMaker/Actions/Time/PerSecond.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayEnemySingAudio	19	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayEnemySingAudio.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayLookAnim	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayLookAnim.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayOneShotOnAudioSource	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayOneShotOnAudioSource.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayParticleEffectsInState	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayParticleEffectsInState.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayParticleEmitter	12117	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/PlayParticleEmitter.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayParticleEmitterChildren	2964	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayParticleEmitterChildren.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayParticleEmitterConditional	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayParticleEmitterConditional.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayParticleEmitterInState	5160	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/PlayParticleEmitterInState.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayParticleEmitterInStateV2	13	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayParticleEmitterInStateV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayParticleSystemPool	7	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayParticleSystemPool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayRandomAudioClipTable	7982	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayRandomAudioClipTable.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayRandomAudioClipTableLooped	7	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayRandomAudioClipTableLooped.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayRandomAudioClipTableV2	338	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayRandomAudioClipTableV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayRandomAudioClipTableV3	152	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayRandomAudioClipTableV3.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayTimeline	12	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayTimeline.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayVibration	29	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/PlayVibration.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayVibrationDelayed	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayVibrationDelayed.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayVibrationV2	71	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayVibrationV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayVibrationV3	453	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayVibrationV3.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayVibrationV4	39	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayVibrationV4.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayerDataBoolAllTrue	1	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/PlayerDataBoolAllTrue.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayerDataBoolMultiTest	7	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayerDataBoolMultiTest.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayerDataBoolTest	4418	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/PlayerDataBoolTest.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayerDataBoolTrueAndFalse	136	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/PlayerDataBoolTrueAndFalse.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayerDataIntAdd	84	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/PlayerDataIntAdd.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayerDataVariableTest	883	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayerDataVariableTest.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PlayerdataIntCompare	54	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PlayerdataIntCompare.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PositionColliderOnGround	122	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PositionColliderOnGround.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PositionColliderOnGroundV2	92	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/PositionColliderOnGroundV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PreBuildTK2DSprites	36	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/PreBuildTK2DSprites.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.PreventInvincibleEffect	70	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/PreventInvincibleEffect.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ProjectileSquash	16	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ProjectileSquash.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ProjectileSquashV2	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ProjectileSquashV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.QuestCompleteYesNo	15	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/QuestCompleteYesNo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.QueueAchievement	14	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/QueueAchievement.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.QueueJump	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/QueueJump.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.QueueMemoryFullHeal	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/QueueMemoryFullHeal.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RandomBool	343	"[""Assets/PlayMaker/Actions/Math/RandomBool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RandomBoolPercent	140	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RandomBoolPercent.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RandomFloat	17301	"[""Assets/PlayMaker/Actions/Math/RandomFloat.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RandomFloatEither	1124	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/RandomFloatEither.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RandomFloatV2	228	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/RandomFloatV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RandomInt	783	"[""Assets/PlayMaker/Actions/Math/RandomInt.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RandomVector2	80	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RandomVector2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RandomVector3	43	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RandomVector3.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RandomWait	82	"[""Assets/PlayMaker/Actions/Time/RandomWait.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RandomiseAudioPosition	287	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RandomiseAudioPosition.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RandomlyFlipFloat	349	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/RandomlyFlipFloat.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RandomlyFlipInt	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RandomlyFlipInt.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RandomlyFlipScale	1434	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RandomlyFlipScale.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RandomlyFlipYScale	7	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RandomlyFlipYScale.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RayCast2d	179	"[""Assets/PlayMaker/Actions/Physics2D/RayCast2d.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RayCast2dIgnoreTag	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RayCast2dIgnoreTag.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RayCast2dNoTriggers	15	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RayCast2dNoTriggers.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RayCast2dV2	9071	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/RayCast2dV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RayCastHeroBlocker	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RayCastHeroBlocker.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ReceivedDamage	2137	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ReceivedDamage.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ReceivedDamageStay	2	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ReceivedDamageStay.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ReceivedNailDamage	26	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ReceivedNailDamage.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RecordPlayerStory	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RecordPlayerStory.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RectTransformSetLocalPosition	6	"[""Assets/PlayMaker/Actions/RectTransform/RectTransformSetLocalPosition.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RecycleObject	115	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RecycleObject.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RecycleSelf	157	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/RecycleSelf.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ReflectAngle	32	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/ReflectAngle.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RelicBoardOwnerYesNo	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RelicBoardOwnerYesNo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RemoveHeroInputBlocker	700	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RemoveHeroInputBlocker.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RemoveMemoryMsg	17	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RemoveMemoryMsg.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RemoveNeedolinMsg	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RemoveNeedolinMsg.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RemoveStatusVignetteStatus	96	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RemoveStatusVignetteStatus.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RemoveUsingSilk	77	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RemoveUsingSilk.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RendererFloatRamp	6	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RendererFloatRamp.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RendererIsVisible	11	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RendererIsVisible.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ReplaceMaterials	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ReplaceMaterials.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ReportToolUsageFailed	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ReportToolUsageFailed.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ResetAnimatorTrigger	126	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ResetAnimatorTrigger.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ResetCutsceneBools	102	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ResetCutsceneBools.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ResetRecordedDamageHero	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ResetRecordedDamageHero.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RespondToCurrencyCounterEvents	46	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RespondToCurrencyCounterEvents.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RestBenchHelperState	600	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RestBenchHelperState.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ResumeTimeline	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ResumeTimeline.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RigidBody2DGetPosition	200	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RigidBody2DGetPosition.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RigidBody2DSetPositionSafe	44	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RigidBody2DSetPositionSafe.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Rigidbody2DMoveBy	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/Rigidbody2DMoveBy.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Rotate	479	"[""Assets/PlayMaker/Actions/Transform/Rotate.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RotateTo	266	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/RotateTo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.RunDialogue	2046	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/RunDialogue.cs""]"	exact_declared_type
